meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
241.2058823529412,100,567,18056.774509803916,134.3754981750911,0.04730263535848619,0.021355864670258365,0.2929983559889464,0.0022030610337829366,0.04693677698546137,3.4,4,991.5,966,1000,0.4,0.42424242424242425,0.6363636363636364,255.92203571834457,Inspection,10,03
298.7241379310345,100,1533,92870.63546798032,304.7468383231897,0.06218420966001071,0.015576914778027811,0.19491786622185822,0.00294355575858938,0.05425454597164536,2.9,8,853.875,33,5700,0.8,0.5357142857142857,0.5357142857142857,571.4164292516787,Inspection,10,03
359.5833333333333,100,900,59365.21014492754,243.649769433356,0.05126206566420378,0.028049197489372003,0.272187064545355,0.0025989147060668802,0.05097955184254644,2.4,9,1392.5555555555557,33,6867,0.9,0.391304347826087,0.6086956521739131,110.31121507428348,Inspection,10,03
261.06666666666666,100,1333,62300.271264367824,249.6002228852527,0.04512394307195357,0.028006909786043664,0.24630012197023995,0.001732336655940923,0.04162134855985475,3.0,0,0,0,0,0,0.5172413793103449,0.4482758620689655,151.1493699635018,Inspection,10,03
221.8684210526316,100,733,16901.793029871973,130.00689608583068,0.04453163065933866,0.016694010348728465,0.12631138763260588,0.0008583352019709497,0.029297358276318186,3.8,2,4850.0,2033,7667,0.2,0.5405405405405406,0.4594594594594595,628.239529533504,Inspection,10,03
260.40625,100,1134,50448.571572580644,224.60759464581923,0.04903999906084523,0.02486026135115308,0.16229826908562495,0.0012310336074018398,0.035086088516701884,3.2,4,933.25,33,3534,0.4,0.5161290322580645,0.3548387096774194,274.56703072318675,Inspection,10,03
273.1290322580645,100,633,23226.649462365596,152.40291815567574,0.0753737928300353,0.007907495728145808,0.42573854477296535,0.011860845504489986,0.1089075089444708,3.1,8,1258.375,34,3433,0.8,0.8333333333333334,0.5666666666666667,171.97411621571075,Reading,10,03
279.64516129032256,100,700,15361.636559139786,123.94206936766784,0.07239449884159269,0.002505622684141483,0.37061259070879643,0.007031900455163205,0.08385642763177552,3.1,5,1986.8,34,4400,0.5,0.8,0.7,184.38705480370896,Reading,10,03
262.4848484848485,100,567,18323.132575757576,135.3629660422583,0.06634219892015683,0.016980444155422266,0.369563858176468,0.005428381030449839,0.07367754766853901,3.3,5,1573.4,34,2766,0.5,0.8125,0.59375,209.1891700733081,Reading,10,03
322.3333333333333,133,733,15377.076923076924,124.00434235572932,0.05600043631458287,0.015097362804781024,0.3666675410363904,0.004248263483584298,0.06517870421835877,2.7,4,2000.0,133,3866,0.4,0.8846153846153846,0.5,162.32452021970016,Reading,10,03
293.0344827586207,100,600,20063.391625615764,141.64530216571168,0.04880954863676839,0.028233716351187755,0.16019708450559836,0.0009754622621325323,0.031232391233021725,2.9,6,1466.6666666666667,300,3233,0.6,0.7857142857142857,0.5357142857142857,177.4589635708109,Reading,10,03
318.5925925925926,100,933,30688.173789173794,175.18040355351906,0.06617370080011684,0.010017018411904575,0.341322798502374,0.00374406164142763,0.061188737864313156,2.7,8,1229.375,33,3466,0.8,0.7307692307692307,0.5384615384615384,164.3086979993832,Reading,10,03
212.67567567567568,100,700,23963.94744744744,154.80293100405896,0.05744697053470062,0.028137301921320183,0.1948848038006222,0.0018129251389962875,0.04257845862635574,3.7,6,1172.0,33,3067,0.6,0.5,0.4722222222222222,80.42600692495006,Search,10,03
201.24,100,466,9823.606666666667,99.1141093218653,0.05078577722022451,0.0280219296553501,0.1468260132224965,0.0009419311565515534,0.030690896965575205,2.5,25,595.84,33,2400,2.5,0.5416666666666666,0.375,23.810689197628218,Search,10,03
130.3939393939394,100,267,2329.3712121212125,48.26355987824782,0.057003938759993926,0.028119256246894306,0.2274030387430058,0.002537589777738751,0.050374495310015276,3.3,28,616.6428571428571,34,1966,2.8,0.46875,0.46875,45.74467618000445,Search,10,03
141.08823529411765,100,333,3703.1131907308377,60.85321019248563,0.05855242113357175,0.021413111869039575,0.42442223819476504,0.005627656230080165,0.0750177061104921,3.4,28,557.4285714285714,34,2067,2.8,0.6060606060606061,0.42424242424242425,56.108496204350004,Search,10,03
174.125,100,433,6866.163461538462,82.86231629358706,0.059225964259855324,0.012405415265805277,0.3748710778515487,0.005294736555001014,0.0727649404246373,4.0,7,1414.4285714285713,33,3167,0.7,0.5128205128205128,0.6666666666666666,127.07404599100403,Search,10,03
256.3125,100,567,24263.5625,155.76765550010694,0.0385146036458544,0.00776438721215993,0.10207881679539829,0.0004349009348238999,0.020854278573566143,3.2,3,988.6666666666666,966,1000,0.6,0.4,0.5333333333333333,301.801021172049,Inspection,5,03
227.77777777777777,100,467,13236.65359477124,115.05065664641485,0.039267887504337434,0.021355864670258365,0.07405072977690089,0.0002927461697227475,0.017109826700546896,3.6,1,0.0,0,0,0.2,0.47058823529411764,0.7647058823529411,135.48813655677066,Inspection,5,03
417.90909090909093,100,1533,176300.6909090909,419.8817582475939,0.04653359849258473,0.01624753177235968,0.1727230959138203,0.0019138076796532892,0.04374708767053287,2.2,0,0,0,0,0,0.4,0.5,286.1054222949325,Inspection,5,03
212.21052631578948,100,800,29279.730994152047,171.11321104506234,0.06890505263056808,0.015576914778027811,0.19491786622185822,0.0034300718592743945,0.058566815341747874,3.8,8,841.375,700,1133,1.6,0.6111111111111112,0.5555555555555556,587.7904641212375,Inspection,5,03
338.3076923076923,100,900,55541.89743589744,235.67328536747104,0.03951098219588257,0.007914188614109927,0.08785435195636787,0.0005021568791308405,0.022408857158071237,2.6,5,666.6,600,733,1.0,0.3333333333333333,0.5,464.51890111507805,Inspection,5,03
349.9166666666667,100,833,70873.90151515152,266.22152714450334,0.06064963138040307,0.028049197489372003,0.272187064545355,0.004788107591687486,0.06919615301219777,2.4,4,1050.0,33,2266,0.8,0.45454545454545453,0.7272727272727273,55.15560753714174,Inspection,5,03
203.66666666666666,100,534,14274.823529411764,119.47729294477575,0.04468416453574486,0.028213627295303315,0.24630012197023995,0.0025863360850287382,0.0508560329265736,3.6,0,0,0,0,0,0.47058823529411764,0.47058823529411764,96.60261712075003,Inspection,5,03
341.5833333333333,100,1333,130873.35606060606,361.7642271709657,0.049933174515408046,0.028006909786043664,0.10181846386630788,0.0006336907350309036,0.025173214634426483,2.4,0,0,0,0,0,0.6363636363636364,0.45454545454545453,137.1836554051933,Inspection,5,03
229.5,100,733,24300.970588235294,155.88768581332937,0.052487350436790134,0.028671373501109335,0.12631138763260588,0.0013006115736660057,0.036063992758234714,3.6,1,2033.0,2033,2033,0.2,0.47058823529411764,0.47058823529411764,736.8083671958179,Inspection,5,03
221.05263157894737,100,500,14240.941520467837,119.33541603592722,0.03782030971967199,0.016694010348728465,0.1101937323108837,0.0004113349138412019,0.020281393291418662,3.8,1,4700.0,4700,4700,0.2,0.5555555555555556,0.3888888888888889,480.9936315810292,Inspection,5,03
282.2,100,700,41070.17142857143,202.65776922825196,0.04122147225865342,0.017465929943053377,0.09118040387636535,0.0004895826902179643,0.022126515546239185,3.0,4,933.25,33,3534,0.8,0.2857142857142857,0.42857142857142855,447.76144932070696,Inspection,5,03
241.1764705882353,100,1134,60969.52941176469,246.92008709654363,0.055092352985313085,0.02486026135115308,0.16229826908562495,0.0019043608672884484,0.0436389833438916,3.4,0,0,0,0,0,0.6875,0.25,198.91724522605517,Inspection,5,03
300.0,100,633,26955.69230769231,164.1818878795475,0.07742003006393271,0.02448466468329197,0.42573854477296535,0.01170581047375052,0.10819339385447949,2.8,5,733.2,100,2033,1.0,0.8461538461538461,0.5384615384615384,77.73528922339406,Reading,5,03
251.0,100,533,19646.375,140.16552714558597,0.07318539454128031,0.007907495728145808,0.393625133670698,0.012771041896345583,0.11300903457841582,3.4,3,1511.3333333333333,34,2934,0.6,0.8125,0.625,104.62207398983848,Reading,5,03
273.0625,134,466,9326.8625,96.57568275709988,0.06034480719836667,0.015164292614573093,0.1622968552397,0.0013990452436104782,0.03740381322285842,3.2,2,2250.0,100,4400,0.4,0.8,0.6666666666666666,104.00120393353694,Reading,5,03
284.46666666666664,100,700,22676.55238095238,150.58735797188416,0.08274068532306007,0.002505622684141483,0.37061259070879643,0.013495185776334436,0.11616878141882368,3.0,3,1611.3333333333333,34,2567,0.6,0.7857142857142857,0.7142857142857143,90.33970417278563,Reading,5,03
248.8235294117647,100,533,16817.529411764706,129.68241751203092,0.056859840406642756,0.028304584411778883,0.3012503895645464,0.004202775975913809,0.0648288205655001,3.4,3,1567.0,34,2634,0.6,0.875,0.625,118.1634699856793,Reading,5,03
284.4,133,567,21255.257142857143,145.791828107261,0.05687409461838536,0.016980444155422266,0.10623996351026672,0.0008319407600675175,0.028843383297864303,3.0,2,1250.0,67,2433,0.4,0.7857142857142857,0.5714285714285714,95.08598639695823,Reading,5,03
325.6923076923077,167,733,21666.5641025641,147.19566604545156,0.07055988167714125,0.028553630635774572,0.3666675410363904,0.008147621922417303,0.09026417851183992,2.6,2,1583.5,133,3034,0.4,0.9166666666666666,0.5833333333333334,78.15625047615194,Reading,5,03
309.64285714285717,166,533,10689.785714285714,103.39141992586093,0.04234610751391069,0.015097362804781024,0.10329645158866349,0.0005709336968244314,0.02389421889965084,2.8,2,1433.5,967,1900,0.4,0.8461538461538461,0.38461538461538464,102.44154615130974,Reading,5,03
297.5,133,533,19783.19230769231,140.6527365808867,0.04071810086563365,0.009409333520094538,0.08827812132489483,0.000549968752677651,0.02345141259450379,2.8,3,1511.3333333333333,800,2367,0.6,0.7692307692307693,0.3076923076923077,99.46005099100847,Reading,5,03
268.75,100,600,19788.066666666666,140.67006315014814,0.05322939814083902,0.02888045800440702,0.16019708450559836,0.0013735745016245004,0.03706176603488426,3.2,3,1000.0,300,1967,0.6,0.8,0.7333333333333333,104.3574222510332,Reading,5,03
343.7692307692308,100,933,44637.69230769231,211.2763410978435,0.0628110114437813,0.011316092846923717,0.341322798502374,0.0073870776222104105,0.08594811005607052,2.6,2,1600.5,467,2734,0.4,0.75,0.6666666666666666,92.90964769179031,Reading,5,03
292.85714285714283,167,634,19003.362637362636,137.8526845489874,0.06585494450920212,0.010017018411904575,0.11643707726631827,0.0008859217591174585,0.029764437826329905,2.8,6,728.0,33,2534,1.2,0.6923076923076923,0.46153846153846156,85.19710266634685,Reading,5,03
163.57142857142858,100,500,9862.257142857146,99.30889760166077,0.06286543875740037,0.028137301921320183,0.1948848038006222,0.00252344236357789,0.050233876652891224,4.2,5,793.0,33,2666,1.0,0.5,0.5,45.647193119566246,Search,5,03
274.9375,100,700,32967.129166666666,181.56852471358206,0.051637272544815,0.028616367528571718,0.12246551715280625,0.0010807828549034666,0.032875262050719334,3.2,1,733.0,733,733,0.2,0.4666666666666667,0.4666666666666667,267.5812553838498,Search,5,03
220.46153846153845,100,466,12846.602564102564,113.34285404957193,0.06158172157612519,0.029622348303124494,0.1468260132224965,0.001472803089604149,0.03837711674428069,2.6,14,742.7857142857143,34,2400,2.8,0.5,0.4166666666666667,12.381558382766674,Search,5,03
180.41666666666666,100,366,6509.174242424241,80.67945365719974,0.03909017083466544,0.0280219296553501,0.06731058171277711,0.0001614620716647446,0.012706772669121952,2.4,11,366.3636363636364,33,1467,2.2,0.5454545454545454,0.2727272727272727,41.17360988618668,Search,5,03
124.6842105263158,100,234,1227.3391812865498,35.03340093805553,0.05211582921177647,0.011168417369650852,0.18641404387935373,0.0022402982227339324,0.04733178871259708,3.8,14,728.5714285714286,100,1966,2.8,0.3333333333333333,0.5,35.277962673087316,Search,5,03
126.73333333333333,100,267,2421.638095238094,49.2101421989217,0.0600541455079078,0.028119256246894306,0.2274030387430058,0.003017023194461697,0.05492743571715047,3.0,14,454.7142857142857,34,1166,2.8,0.6428571428571429,0.42857142857142855,21.38458790145007,Search,5,03
135.2941176470588,100,300,2702.970588235294,51.990100867716095,0.07150784218243708,0.029459131530508213,0.42442223819476504,0.00907866579961598,0.09528203293179664,3.4,21,554.2380952380952,34,2067,4.2,0.5,0.3125,28.054248102175002,Search,5,03
146.88235294117646,100,333,4863.360294117647,69.73779673977123,0.04559700008470643,0.021413111869039575,0.22363371582319613,0.0021717089389984216,0.046601598030522745,3.4,7,629.0,34,1000,1.4,0.6875,0.5,100.69755303714054,Search,5,03
136.45454545454547,100,234,2109.4727272727273,45.928996584649305,0.05104074567665266,0.029081027912083734,0.16973115909191405,0.001779944510704346,0.0421893886031114,2.2,17,782.2352941176471,33,1934,3.4,0.6,0.5,30.83861829874077,Search,5,03
192.61111111111111,100,433,11174.957516339868,105.71167161832163,0.03289533794076896,0.028176970165641826,0.044839792200508925,2.093681816229936e-05,0.004575676798277973,3.6,2,1617.0,67,3167,0.4,0.47058823529411764,0.7647058823529411,115.86424694700526,Search,5,03
154.45454545454547,100,267,2912.735930735931,53.96976867410061,0.08055188345324425,0.012405415265805277,0.3748710778515487,0.0087583199296878,0.09358589599767585,4.4,5,1233.6,567,2167,1.0,0.5714285714285714,0.5714285714285714,99.73682371789688,Search,5,03
