meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
274.875,100,533,15177.183333333332,123.19571150544702,0.054326346067631454,0.024619649832642393,0.0978341895928924,0.000709777761926274,0.026641654639422717,3.2,0,0,0,0,0,0.6,0.6666666666666666,224.58993635992894,Inspection,5,01
229.55555555555554,100,666,18507.908496732027,136.04377419320602,0.04546418190624351,0.008783595915907966,0.15469917039068548,0.001069739478527666,0.03270687203826844,3.6,4,1041.5,33,3967,0.8,0.4117647058823529,0.5294117647058824,264.3369670732695,Inspection,5,01
256.94117647058823,100,900,38417.68382352941,196.0042954211193,0.045090191812689244,0.02354413989193299,0.09241812992380267,0.0005319341795143528,0.023063698305223142,3.4,0,0,0,0,0,0.4375,0.5625,356.0787352921156,Inspection,5,01
237.11111111111111,100,434,11642.575163398693,107.90076535131108,0.058438865981928,0.013570826694539169,0.14670935677243246,0.001320374788854086,0.03633696174495174,3.6,0,0,0,0,0,0.6470588235294118,0.47058823529411764,187.0513804505667,Inspection,5,01
249.1764705882353,100,1034,50779.279411764706,225.34258233135768,0.06819738203775501,0.023496567485493173,0.2061610421458986,0.0030786904660778168,0.05548594836603063,3.4,0,0,0,0,0,0.25,0.6875,168.6509607959423,Inspection,5,01
224.16666666666666,100,734,21981.794117647063,148.2625850228137,0.04813910870583466,0.028368674986567134,0.13063984174780882,0.0011925606291714758,0.034533471142812674,3.6,0,0,0,0,0,0.5882352941176471,0.47058823529411764,136.92689875060435,Inspection,5,01
366.8333333333333,134,767,54527.42424242425,233.51107948537313,0.04443852827522752,0.006132689053146468,0.10291291741256561,0.0009601092147759935,0.030985629165404944,2.4,0,0,0,0,0,0.5454545454545454,0.36363636363636365,164.0010796737745,Inspection,5,01
227.77777777777777,100,634,15741.359477124184,125.46457459029693,0.04747009681161049,0.017613339577839924,0.11493340060661164,0.0008268195722668653,0.028754470474464753,3.6,0,0,0,0,0,0.47058823529411764,0.5294117647058824,256.2996309907553,Inspection,5,01
212.21052631578948,100,566,14065.06432748538,118.59622391748137,0.046309216427215805,0.028588952376962535,0.12241574902182159,0.0008929764450768334,0.029882711474644223,3.8,0,0,0,0,0,0.5555555555555556,0.6666666666666666,816.8775465431996,Inspection,5,01
180.95238095238096,100,467,10081.347619047618,100.40591426329237,0.04553444226229042,0.0279460445113913,0.1555879608571773,0.001032890707879724,0.03213861708100901,4.2,5,899.8,33,4134,1.0,0.65,0.35,160.5618471906522,Inspection,5,01
254.3125,100,867,43529.1625,208.63643617546768,0.046731227906463405,0.02849607316872886,0.1000122252230654,0.0005896301273543505,0.024282300701423464,3.2,0,0,0,0,0,0.4666666666666667,0.6,118.9152761663736,Inspection,5,01
280.0,100,700,32384.285714285714,179.95634391231033,0.041569721941153694,0.028132282546079704,0.10457564855641535,0.0005973959211049774,0.024441684088969347,3.0,0,0,0,0,0,0.6428571428571429,0.5,401.73729525689754,Inspection,5,01
208.68421052631578,100,733,24271.22807017544,155.7922593397228,0.054160208632251766,0.028366676110027432,0.16563435682440644,0.0017452124948066133,0.041775740505784136,3.8,0,0,0,0,0,0.6111111111111112,0.5555555555555556,249.31398108874203,Inspection,5,01
201.7,100,500,11550.326315789474,107.47244444874916,0.047289837576139915,0.007724622112713089,0.11678427216367322,0.0009543430345062436,0.030892442999967542,4.0,0,0,0,0,0,0.47368421052631576,0.47368421052631576,257.95001128692525,Inspection,5,01
256.125,100,733,26160.116666666665,161.7408936127987,0.048274077494699294,0.028344953402369606,0.1112352826438743,0.0007919174058955953,0.0281410270938286,3.2,0,0,0,0,0,0.6666666666666666,0.6,246.71668053759245,Inspection,5,01
198.25,100,600,14443.776315789473,120.182262900103,0.04664005280339697,0.02530529601624509,0.13189203851501277,0.0009223832835757579,0.030370763631752132,4.0,1,1266.0,1266,1266,0.2,0.5263157894736842,0.47368421052631576,339.03652437764833,Inspection,5,01
1217.0,167,2567,1016666.6666666666,1008.2988974836115,0.027472749725175327,0.02355135438258152,0.029544461011673632,7.157107151871014e-06,0.0026752770233886085,0.8,0,0,0,0,0,0.6666666666666666,0.3333333333333333,803.6481608260699,Reading,5,01
243.0,100,533,19000.875,137.843661442955,0.048861934404253425,0.004011982348346172,0.19517939928565126,0.0017615949477663305,0.04197135865999969,3.4,3,1600.0,33,3433,0.6,0.875,0.5,62.705715690608955,Reading,5,01
256.3125,100,533,11488.7625,107.18564502768083,0.040436551406496636,0.028141107401421547,0.16456754697894144,0.0011443195163432505,0.03382779207017878,3.2,2,2067.0,667,3467,0.4,0.9333333333333333,0.4666666666666667,63.06321113377838,Reading,5,01
198.35,100,333,4727.081578947368,68.75377501597544,0.05482864645176679,0.025565106418922037,0.2647275351559795,0.0030015207908587705,0.05478613684919544,4.0,6,605.6666666666666,33,2067,1.2,0.8947368421052632,0.47368421052631576,76.29692563205252,Reading,5,01
229.72222222222223,133,633,16960.212418300653,130.23138031327417,0.05688264183117865,0.025259445897678753,0.41824535194360535,0.008278586533024993,0.0909867382261008,3.6,3,1356.0,100,3834,0.6,0.8235294117647058,0.35294117647058826,66.52454341037625,Reading,5,01
231.44444444444446,100,600,11185.908496732025,105.76345539330693,0.040338134047057925,0.019952542709357573,0.15682353235094332,0.0009350004440323223,0.03057777696354531,3.6,3,900.3333333333334,167,2367,0.6,0.9411764705882353,0.6470588235294118,67.79579996499544,Reading,5,01
